Short tag,Q2 Bottleneck,# (bottlenecks only),# all a,Bottleneck Description,,Q3 Solution,# solutions only,# all b,Solution Description
Predictive Models,[X1.1] Lack of Predictive Models,33,34,Current molel organisms are poorly predictive of results in humans.,,[+X1.1] In Silico/Systems Aging Models,4,15,Computational/Systems Bio Modeling. Make predictions in silico to save time and cost in meatspace.
Slow & Expensive Models,[X1.2] Slow & Expensive Models,36,36,Animal model studies are slow and expensive.,,[+X1.2] Ex vivo Models,2,9,"Cell/tissue/organ based aging models that are predicitive, affordable and accessible."
Systems Aging,[X1.3] Lack of In Silico/Systems Aging Models,10,10,More complex/comprehensive computer models describing or predicting the processes of aging.,,[+X1.3] Multiple/Diverse Models,3,7,Improve robustnest of results by using multiple models.
Datasets,[X2] Public Datasets,27,35,Lack of accessible and comprehensive data sets.,,[+X1.4] Unspecified/Misc Models,3,9,Better model systems for aging (unspecified how)
Human Samples,[X3] Human Samples,11,13,"Access to human samples (healthy, aged, diseased, with good sample info) is difficult, slow and expensive.",,[+X1.5] Longer Lived Models,2,4,Develop longer lived animal models - more likely to be more translatable to human biology.
Aged Samples,[X4] Aged Animals/Tissues,11,14,"Access aged animals and their tissues/cells is difficult, slow and expensive.",,[+X1.6] Human Models,2,5,"Skip animals and their problems - develop human model systems (cell, tissue, organ, body, in vivo)"
Lab Tech,[X5] Instrumentation/Lab Tech,10,14,"Lab tech is expensive, difficult to use, often unreliable. Better/cheaper/new HW enables progress.",,[+X1.7] Accelerated Aging Models,1,1,Accelerated aging models could speed progress... if they are representative of normal aging.
Automation,[X6] Lab Automation,8,8,Lab automation is expensive and not user friendly - better tech would improve research throughput & quality,,[+X2] Public Datasets,22,33,"Accessible and comprehensive data sets can lift all boats, accelerate progress."
Software,[X7] CS / Software,4,7,"Research software is expensive, proprietary, buggy and not user friendly.",,[+X3] Instrumentation/Lab Tech,8,15,Cheaper/better/new tools to measure biology/health/age would enable more and new studies.
Gene Delivery,[X8] Gene Delivery,5,5,"Need improvements in toxicity, biodistribution, payload size, immunogenicity, transfection efficiency & more.",,[+X4] Human Cell/Tissue Bank,6,12,"Easy, inexpensive, and well documented samples."
Infrastructure,[X9] Research Infrastructure,4,4,"Lab space is expensive, scarce, difficult to access.",,[+X5] Aged Animals/Tissue Bank,5,12,"Easy, inexpensive, and well documented aged animals and samples. "
AI Tools,[X10] AI Tools,3,4,"Maybe humans can't parse bio, need AI to accelerate progress",,[+X13] Lab Automation,4,10,"Better/easier lab automation would enable increased throughput, higher quality, standards, collaboration."
Health Sensors,[X11] Personal Health Sensors,3,3,"Cars have hundreds of sensors. Most people have none. They need to be cheaper, non-invasive, easier to use.",,[+X6] CS / Software,5,7,"Better/easier research software would enable increased throughput, higher quality, standards, collaborations."
Data Sharing,[X12] Personal Health Data Sharing,3,3,"Current options are expensive, siloed, difficult to use, disconnected from research.",,[+X7] Gene Delivery,1,5,Better delivery and gene editing tools
Compute,[X13] Computing Power,2,2,More compute power unlocks new research capabilities. Also needs to be accessible.,,[+X8] AI Tools,4,5,Overcome the limits of human intelligence by building better/specialized AI systems.
Info Overload,[X14] Information Overload,1,2,Too many papers for a human to read/parse even if you spend all day every day.,,[+X9] Personal Health Sensors,2,2,"Cars have hundreds of sensors. Most people have none. They need to be cheaper, non-invasive, easier to use."
,,,,,,[+X10] Syn Bio,0,1,"Tools to engineer cells, tissues, organs to meet our specifications."
,,,,,,[+X11] Computing Power,1,2,More compute power unlocks new research capabilities. Also needs to be accessible.
,,,,,,[+X12] Health Data Platform,3,3,Platform for individuals to easily analyze and share health and medical data for advancing research.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,[T] Translation,95,104,Regulatory and translational challenges,,[+T] Translation,33,68,How to improve translational challenges
Regulation,[T1] Lack of Regulatory Path,30,38,No current regulatory path for aging interventions / longevity medicine.,,[+T1] Regulatory Path,19,37,A regulatory path for aging interventions / longevity medicine.
Translation Gap,[T2] Translation Gap,27,27,Lack of translation of basic research results into actual therapies.,,[+T2] Participant Database,4,6,Database/marketplace to streamline sourcing clinical research participants.
Slow/Expensive,[T3] Slow/Expensive Trials,10,10,Clinical trials (as currently practiced) are slow and expensive.,,[+T3] Regulatory Opt-Out,5,7,Allow people to opt-out of medical regulations. A healthcare socioeconomic free zone.
Bioethics,"[T4] Misguided ""Bioethics""",9,10,Risk aversion / harmful action reduction mindset ignores the harm of inaction / slowed progress.,,[+T4] Intervention Testing,0,5,"More intervention testing, including combination therapies."
Market Failure,[T5] Market Failure,11,11,"""Sick-care"" system maximizes money spent not health/lifespan outcomes, needs structural redesign.",,[+T5] Translation Bridges,2,2,Innovation centers and funding to close the translation gap.
Recruitment,[T6] Participant Recruitment,5,5,"Recruit participants to trials and clinical studies is slow, expensive, bureaocratic.",,[+T6] Regulate Claims,1,2,"Require trials to make health claims in supplements, lifestyle, etc. Opportunity to design/test lower cost trials?"
Claims ,[T7] Unregulated Claims,3,3,"Pervasive hyped therapies with little to no evidence (NAD, MSCs, diets, hot/cold therapy, light therapy, etc.)",,[+T7] Public Trials,0,2,No current mechanism to test interventions when a therapy isn't IP protectable / highly profitable
,,,,,,[+T8] Rethink Trials,1,6,How can we make them bigger/better/cheaper and longevity oriented.
,,,,,,[+T10] Data Unlocking,1,1,"Change policies to unlock siloed health/medical data. Require accessibility, standards and interoperability."
,,,,,,[+T9] Longevity Standard of Care,0,0,"Alternative to ""sick-care"" standards, to help create a market for longevity medicine."
